Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
130,130,1-Sep,@,CLE,W3-0,35,34,3,7,0,0,3,3,1,0,13,0,0,0,0,0,2,0,0.236,0.303,0.39,0.693,5,10,R,S.Bieber(63)
131,131,2-Sep,,OAK,W5-2,36,31,5,9,4,0,0,5,4,1,7,0,1,0,0,1,0,0,0.236,0.304,0.39,0.694,7,12,L,J.Sears(56)
132,132,3-Sep,,OAK,W8-1,39,35,8,11,2,0,5,8,4,0,6,0,0,0,0,0,1,0,0.237,0.305,0.393,0.698,7,11,R,A.Oller(28)
133,133,4-Sep,,OAK,L0-5,34,31,0,6,2,0,0,0,3,0,6,0,0,0,0,2,1,0,0.236,0.304,0.392,0.696,7,11,R,A.Martinez(68)
134,134,Sep 5 (1),,TOR,L3-7,35,35,3,8,1,0,2,3,0,0,9,0,0,0,0,0,0,0,0.236,0.304,0.392,0.696,5,11,R,K.Gausman(58)
135,135,Sep 5 (2),,TOR,L4-8,39,36,4,10,1,0,2,4,2,0,3,0,0,0,0,1,0,0,0.237,0.304,0.393,0.697,8,9,R,J.Berrios(46)
136,136,6-Sep,,TOR,W9-6,41,34,9,9,2,1,0,9,6,0,7,1,0,0,1,0,1,0,0.237,0.305,0.393,0.697,8,10,R,M.White(30)
137,137,7-Sep,,TOR,L1-4,31,30,1,3,2,0,0,1,1,0,7,0,0,0,0,0,0,0,0.236,0.303,0.391,0.695,3,9,R,A.Manoah(76)
138,138,9-Sep,,BOS,W3-2,34,27,3,5,1,0,0,2,6,0,8,1,0,0,0,0,0,1,0.236,0.304,0.39,0.694,7,9,R,B.Bello(53)
139,139,10-Sep,,BOS,L4-17,36,35,4,8,1,0,1,4,0,0,7,0,0,1,1,0,0,0,0.236,0.303,0.39,0.693,5,12,R,M.Wacha(53)
140,140,11-Sep,,BOS,L0-1,36,30,0,3,0,0,0,0,4,0,14,2,0,0,0,0,1,0,0.235,0.303,0.388,0.691,9,13,L,R.Hill(67)
141,141,13-Sep,@,WSN,W4-3,42,36,4,11,4,0,1,3,4,0,9,2,0,0,0,1,1,1,0.235,0.304,0.389,0.693,11,10,R,C.Abbott(41)
142,142,14-Sep,@,WSN,W6-2,40,37,6,11,2,1,1,5,2,0,6,1,0,0,0,0,0,0,0.236,0.304,0.39,0.694,7,11,L,P.Corbin(64)
143,143,16-Sep,@,TOR,L3-6,33,31,3,5,0,1,2,3,2,0,11,0,0,0,0,1,0,0,0.235,0.303,0.39,0.693,3,9,R,T.Richards(56)
144,144,17-Sep,@,TOR,L3-6,39,34,3,9,3,0,0,3,3,0,6,1,0,0,0,1,0,1,0.235,0.304,0.39,0.693,9,10,R,J.Berrios(51)
145,145,18-Sep,@,TOR,W5-4,41,34,5,9,2,0,1,5,7,1,6,0,0,0,0,1,0,0,0.236,0.304,0.39,0.694,9,12,R,A.Manoah(61)
146,146,19-Sep,,DET,L0-11,32,28,0,2,0,0,0,0,4,0,6,0,0,0,0,1,0,0,0.235,0.304,0.388,0.692,5,11,L,T.Alexander(75)
147,147,20-Sep,,DET,L2-3,38,33,2,6,0,0,1,2,5,0,8,0,0,0,1,1,0,0,0.234,0.304,0.387,0.691,9,11,L,J.Wentz(67)
148,148,21-Sep,,DET,W8-1,39,33,8,9,0,0,1,8,5,0,8,0,0,1,0,0,1,0,0.235,0.304,0.387,0.691,7,10,R,M.Manning(43)
149,149,22-Sep,,HOU,W2-0,29,29,2,7,1,0,0,2,0,0,5,0,0,0,0,1,0,0,0.235,0.304,0.386,0.69,3,11,R,J.Verlander(56)
150,150,23-Sep,,HOU,W6-0,35,32,6,9,1,0,1,6,2,0,8,0,1,0,0,0,3,1,0.235,0.304,0.387,0.69,5,11,R,J.Urquidy(63)
